City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Batagay-Alyta,RU,67.8006,130.4114,58.93,61,100,2.3,overcast clouds
140,Pushkino,RU,56.0172,37.8667,68.29,95,100,5.39,overcast clouds
141,Upington,ZA,-28.4478,21.2561,37.78,81,0,5.75,clear sky
142,Inhambane,MZ,-23.865,35.3833,62.85,76,0,2.8,clear sky
143,Havelock,US,34.8791,-76.9013,86.95,88,100,8.99,overcast clouds
144,Bredasdorp,ZA,-34.5322,20.0403,46.51,82,24,4.99,few clouds
145,Denpasar,ID,-8.65,115.2167,78.46,83,20,10.36,few clouds
146,Brikama,GM,13.2714,-16.6494,80.64,83,40,5.75,scattered clouds
147,Batagay,RU,67.6333,134.6333,50.09,91,100,1.34,overcast clouds
148,Sindgi,IN,16.9167,76.2333,74.19,84,100,15.61,overcast clouds
149,Hargeysa,SO,9.56,44.065,66.9,65,4,30.56,clear sky
150,Khatanga,RU,71.9667,102.5,44.19,88,100,15.39,light rain
151,Qasigiannguit,GL,68.8193,-51.1922,43.05,88,100,3.09,overcast clouds
152,Bennington,US,42.8781,-73.1968,72.09,69,0,0.0,clear sky
153,Zhangye,CN,38.9342,100.4517,75.36,25,0,16.26,clear sky
154,Norman Wells,CA,65.282,-126.8329,86.04,28,40,6.91,smoke
155,Suifenhe,CN,44.4,131.1667,67.57,89,100,6.24,overcast clouds
156,Pacific Grove,US,36.6177,-121.9166,76.01,79,20,12.66,few clouds
157,Northam,GB,51.0333,-4.2167,63.39,93,85,13.89,overcast clouds
158,Marsh Harbour,BS,26.5412,-77.0636,82.13,72,42,11.48,scattered clouds
159,Manggar,ID,-2.8833,108.2667,82.98,72,8,4.12,clear sky
160,San Patricio,US,28.017,-97.5169,90.54,64,2,14.54,clear sky
161,Burnsville,US,44.7677,-93.2777,80.38,68,40,5.75,scattered clouds
162,Krasnoarmeysk,RU,51.0239,45.6969,59.18,66,0,4.23,clear sky
163,Guerrero Negro,MX,27.9769,-114.0611,70.41,75,0,18.21,clear sky
164,Carnarvon,AU,-24.8667,113.6333,63.77,28,0,11.12,clear sky
165,Nikolskoye,RU,59.7035,30.7861,61.81,91,100,3.24,light rain
166,Haines Junction,CA,60.7522,-137.5108,79.12,31,19,9.55,few clouds
167,Lorengau,PG,-2.0226,147.2712,83.93,74,100,9.55,overcast clouds
168,Flinders,AU,-34.5833,150.8552,61.18,81,93,3.0,overcast clouds
169,Ola,RU,59.5833,151.2833,75.15,80,16,5.97,few clouds
170,Saint-Philippe,RE,-21.3585,55.7679,66.22,73,57,10.58,broken clouds
171,Bestobe,KZ,52.4994,73.0975,59.47,75,100,5.68,overcast clouds
172,Sturgeon Falls,CA,46.3646,-79.9326,67.96,62,0,7.23,clear sky
173,Guelph,CA,43.5501,-80.2497,69.66,66,0,6.91,clear sky
174,Tiznit,MA,29.5833,-9.5,77.94,39,2,2.06,clear sky
175,Tivaouane,SN,14.9515,-16.8129,80.94,79,36,13.06,scattered clouds
176,Caucaia,BR,-3.7361,-38.6531,78.04,82,75,4.61,broken clouds
177,Novikovo,RU,51.1537,37.8879,65.66,60,12,5.91,few clouds
178,Charters Towers,AU,-20.1,146.2667,62.91,51,0,8.55,clear sky
179,Pangnirtung,CA,66.1451,-65.7125,45.39,77,89,3.65,overcast clouds
180,Sitka,US,57.0531,-135.33,60.69,77,100,4.61,overcast clouds
181,Hovd,MN,48.0056,91.6419,63.0,34,0,3.76,clear sky
182,Tooele,US,40.5308,-112.2983,93.24,17,0,11.5,clear sky
183,Miraflores,MX,19.2167,-98.8083,68.65,72,78,3.98,broken clouds
184,Rawson,AR,-43.3002,-65.1023,44.71,56,98,26.96,overcast clouds
185,Garcia,MX,25.8167,-100.5833,96.17,38,100,16.96,overcast clouds
186,Saint Anthony,US,45.0205,-93.218,80.53,66,40,5.75,scattered clouds
187,Wattegama,LK,6.7989,81.4808,77.99,75,100,1.72,overcast clouds
188,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.53,90,13,3.09,few clouds
189,Upernavik,GL,72.7868,-56.1549,40.6,81,8,2.93,clear sky
190,Vila Velha,BR,-20.3297,-40.2925,70.95,86,20,2.3,few clouds
191,Souillac,MU,-20.5167,57.5167,70.18,60,75,11.5,broken clouds
192,Sur,OM,22.5667,59.5289,80.67,93,100,14.27,heavy intensity rain
193,Bemidji,US,47.4736,-94.8803,77.09,67,0,6.91,clear sky
194,Same,TZ,-4.0667,37.7333,62.15,87,93,6.24,overcast clouds
195,Aklavik,CA,68.2191,-135.0107,87.46,27,2,7.61,clear sky
196,Eydhafushi,MV,5.1033,73.0708,82.99,77,100,15.77,heavy intensity rain
197,Marawi,PH,7.9986,124.2928,78.93,69,45,6.17,scattered clouds
198,Merauke,ID,-8.4667,140.3333,80.4,81,99,13.85,overcast clouds
199,Coihaique,CL,-45.5752,-72.0662,30.15,93,40,3.44,scattered clouds
200,Kaeo,NZ,-35.1,173.7833,62.33,97,100,10.13,light rain
201,North Battleford,CA,52.7834,-108.2847,69.4,60,40,9.22,scattered clouds
202,Saldanha,ZA,-33.0117,17.9442,42.85,85,1,10.78,clear sky
203,Leningradskiy,RU,69.3833,178.4167,35.11,92,100,13.29,light snow
204,Hami,CN,42.8,93.45,79.47,24,0,13.87,clear sky
205,Faanui,PF,-16.4833,-151.75,79.38,65,10,8.93,clear sky
206,Margate,GB,51.3813,1.3862,65.7,73,71,7.0,broken clouds
207,Gat,IL,31.61,34.7642,74.08,100,0,3.6,clear sky
208,Bar Harbor,US,44.3876,-68.2039,66.24,60,28,5.99,scattered clouds
209,Saint-Augustin,CA,51.226,-58.6502,57.85,62,100,3.44,overcast clouds
210,Moroni,KM,-11.7022,43.2551,72.84,68,0,5.41,clear sky
211,East London,ZA,-33.0153,27.9116,58.87,77,0,7.74,clear sky
212,Torata,PE,-17.0769,-70.8433,59.04,30,92,1.97,overcast clouds
213,Richards Bay,ZA,-28.783,32.0377,61.63,90,0,3.4,clear sky
214,Thinadhoo,MV,0.5333,72.9333,82.38,77,92,8.48,light rain
215,Pak Phanang,TH,8.3511,100.202,80.62,79,100,8.88,overcast clouds
216,Nkhotakota,MW,-12.9274,34.2961,65.01,66,37,6.29,scattered clouds
217,Fethiye,TR,36.6217,29.1164,69.67,42,0,3.29,clear sky
218,Requena,ES,39.4883,-1.1004,63.79,90,1,2.24,clear sky
219,Sao Filipe,CV,14.8961,-24.4956,74.97,85,90,9.71,overcast clouds
220,Humberto De Campos,BR,-2.5983,-43.4611,75.72,88,100,3.4,overcast clouds
221,Ayan,RU,56.45,138.1667,60.15,89,73,5.68,broken clouds
222,Warrington,GB,53.3925,-2.5802,61.27,89,100,12.66,overcast clouds
223,Pedernales,DO,18.0384,-71.744,80.74,74,63,8.25,broken clouds
224,Sioux Lookout,CA,50.1001,-91.917,73.47,49,75,6.91,broken clouds
225,Alghero,IT,40.5589,8.3181,69.89,88,0,2.3,clear sky
226,Havoysund,NO,70.9963,24.6622,50.23,91,100,2.89,light rain
227,Russell,US,32.3502,-85.1999,90.68,62,0,0.0,clear sky
228,Kawalu,ID,-7.3817,108.2082,73.72,92,99,1.01,overcast clouds
229,Nioki,CD,-2.7167,17.6833,75.85,45,99,2.89,overcast clouds
230,Ixtapa,MX,20.7,-105.2,84.22,83,100,8.05,overcast clouds
231,Balatonfured,HU,46.9619,17.8719,66.34,54,2,3.0,clear sky
232,Kloulklubed,PW,7.0419,134.2556,75.7,71,96,7.34,light rain
233,Karratha,AU,-20.7377,116.8463,63.43,21,5,17.18,clear sky
234,Ponta Do Sol,PT,32.6667,-17.1,70.0,64,0,3.85,clear sky
235,Ottumwa,US,41.02,-92.4113,78.12,93,100,3.44,overcast clouds
236,Kruisfontein,ZA,-34.0033,24.7314,53.73,59,0,7.38,clear sky
237,Cockburn Town,TC,21.4612,-71.1419,81.97,79,0,21.94,clear sky
238,Whithorn,JM,18.2604,-78.0378,81.66,87,20,1.52,few clouds
239,Ketchikan,US,55.3422,-131.6461,72.07,43,40,10.36,scattered clouds
240,Bilibino,RU,68.0546,166.4372,50.97,73,100,5.68,overcast clouds
241,Goderich,CA,43.7501,-81.7165,68.32,77,10,9.22,clear sky
242,Viedma,AR,-40.8135,-62.9967,48.87,45,4,21.23,clear sky
243,Nedjo,ET,9.5046,35.5019,58.39,94,100,1.66,overcast clouds
244,Klaksvik,FO,62.2266,-6.589,47.32,86,100,12.1,overcast clouds
245,Shulan,CN,44.4167,126.95,70.0,99,100,5.97,heavy intensity rain
246,Terra Santa,BR,-2.1042,-56.4869,75.02,89,10,1.45,clear sky
247,Elizabeth City,US,36.2946,-76.2511,87.82,76,0,5.75,light rain
248,Victoria,HK,22.2855,114.1577,86.05,87,96,5.99,moderate rain
249,Verkhnyaya Inta,RU,65.9811,60.3094,66.15,58,16,6.44,few clouds
250,Yarensk,RU,62.1675,49.0916,65.43,69,95,2.37,overcast clouds
251,Villazon,BO,-22.0866,-65.5942,46.36,31,1,9.75,clear sky
252,Tromso,NO,69.6496,18.957,51.82,82,75,13.8,broken clouds
253,Maridi,SS,4.9158,29.4742,67.15,84,51,4.83,broken clouds
254,Yurginskoye,RU,56.8189,67.3921,57.54,97,83,6.15,broken clouds
255,Mahon,ES,39.8885,4.2658,73.96,78,0,12.66,clear sky
256,Veraval,IN,20.9,70.3667,82.38,86,100,22.24,overcast clouds
257,Zhoucheng,CN,35.9122,116.3117,81.64,68,1,3.56,clear sky
258,Hasaki,JP,35.7333,140.8333,77.29,85,14,18.12,few clouds
259,Ancud,CL,-41.8697,-73.8203,41.23,78,100,14.05,light rain
260,Catamarca,AR,-28.4696,-65.7852,60.78,49,10,1.99,clear sky
261,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,82,75,5.95,broken clouds
262,Loa Janan,ID,-0.583,117.095,79.34,82,100,3.56,overcast clouds
263,Ambilobe,MG,-13.2,49.05,61.68,86,0,4.5,clear sky
264,Padang,ID,-0.9492,100.3543,77.05,69,68,2.26,broken clouds
265,Kieta,PG,-6.2167,155.6333,86.27,62,100,7.56,overcast clouds
266,Nakamura,JP,32.9833,132.9333,85.41,71,100,2.39,overcast clouds
267,Kahului,US,20.8947,-156.47,86.02,55,20,23.02,few clouds
268,Bayburt,TR,40.2589,40.2278,56.08,49,0,3.47,clear sky
269,Potam,MX,27.6,-110.3833,91.06,47,0,7.96,clear sky
270,Palmerston,AU,-12.486,130.9833,73.38,43,0,14.97,clear sky
271,Harrisburg,US,40.2737,-76.8844,81.14,69,75,4.61,broken clouds
272,Caravelas,BR,-17.7125,-39.2481,70.52,84,54,4.12,broken clouds
273,Baykit,RU,61.67,96.37,59.09,93,100,2.84,light rain
274,Filingue,NE,14.3521,3.3168,91.94,39,72,10.87,broken clouds
275,Hurghada,EG,27.2574,33.8129,86.04,16,0,10.36,clear sky
276,Luderitz,NA,-26.6481,15.1594,55.02,61,0,7.31,clear sky
277,Kasongo-Lunda,CD,-6.4667,16.8167,65.95,38,30,1.12,scattered clouds
278,Vao,NC,-22.6667,167.4833,75.7,77,100,14.5,overcast clouds
279,Pemba,MZ,-12.974,40.5178,73.83,74,38,13.18,scattered clouds
280,Kenora,CA,49.8167,-94.4337,75.78,56,75,10.0,light intensity shower rain
281,Nchelenge,ZM,-9.3451,28.734,59.11,58,0,8.68,clear sky
282,Evensk,RU,61.95,159.2333,50.04,95,100,10.04,light rain
283,Birjand,IR,32.8663,59.2211,70.27,24,70,6.91,broken clouds
284,Cap Malheureux,MU,-19.9842,57.6142,69.48,62,74,3.0,broken clouds
285,Safford,US,32.834,-109.7076,99.52,15,0,12.66,clear sky
286,Mogadishu,SO,2.0371,45.3438,75.49,85,65,17.81,moderate rain
287,Santa Maria,BR,-29.6842,-53.8069,74.5,46,0,14.97,clear sky
288,Hit,IQ,33.6416,42.8251,87.94,18,0,9.78,clear sky
289,Luzhou,CN,28.8724,105.4405,85.03,69,0,1.01,clear sky
290,Gushikawa,JP,26.3544,127.8686,86.0,82,40,6.91,scattered clouds
291,Calbuco,CL,-41.768,-73.1273,40.21,88,100,10.6,light rain
292,Yuzhne,UA,46.6221,31.1013,73.49,56,6,5.14,clear sky
293,Moron,AR,-34.6534,-58.6198,57.96,99,100,2.3,light rain
294,Tura,IN,25.5198,90.2201,78.87,83,10,3.2,clear sky
295,Tecoanapa,MX,16.5167,-98.75,82.15,72,100,3.51,overcast clouds
296,Talnakh,RU,69.4865,88.3972,52.21,86,96,12.48,overcast clouds
297,Broome,US,42.2506,-75.833,70.65,82,2,1.01,clear sky
298,Talakan,RU,50.3167,130.3667,71.47,98,100,8.23,moderate rain
299,Rocha,UY,-34.4833,-54.3333,61.0,97,100,14.56,overcast clouds
300,Mahebourg,MU,-20.4081,57.7,70.09,60,75,11.5,broken clouds
301,Aykhal,RU,66.0,111.5,59.07,57,15,12.28,few clouds
302,Jiexiu,CN,37.0244,111.9125,85.12,32,0,3.58,clear sky
303,Nanortalik,GL,60.1432,-45.2371,44.58,93,100,10.11,light rain
304,Honiara,SB,-9.4333,159.95,86.59,65,99,10.07,overcast clouds
305,Tezu,IN,27.9167,96.1667,81.95,89,59,0.4,broken clouds
306,Altamont,US,42.2068,-121.7372,79.79,32,100,4.61,overcast clouds
307,Macklin,CA,52.3334,-109.9348,66.54,67,95,7.27,overcast clouds
308,San Jose,US,37.3394,-121.895,78.67,57,20,17.27,few clouds
309,San Antonio,US,29.4241,-98.4936,99.12,39,40,13.8,scattered clouds
310,Terme,TR,41.2092,36.9739,62.53,86,0,5.37,clear sky
