City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Cidreira,BR,2022-06-28 02:01:37,-30.1811,-50.2056,60.37,90,100,5.91
143,Bahia Honda,CU,2022-06-28 02:01:37,22.9036,-83.1592,77.68,82,98,2.98
144,Tommot,RU,2022-06-28 02:01:38,58.9564,126.2925,75.04,54,17,8.68
145,Poum,NC,2022-06-28 02:01:38,-20.2333,164.0167,75.65,75,100,9.28
146,Sakakah,SA,2022-06-28 02:01:39,29.9697,40.2064,80.82,22,0,6.55
147,Saint Anthony,US,2022-06-28 02:01:39,45.0205,-93.218,78.4,49,75,3.44
148,Palafrugell,ES,2022-06-28 02:01:40,41.9174,3.1631,72.43,47,95,8.01
149,Oranjemund,NA,2022-06-28 02:01:40,-28.55,16.4333,67.51,43,0,12.88
150,Husavik,IS,2022-06-28 02:01:41,66.0449,-17.3389,46.26,96,99,2.93
151,Georgetown,MY,2022-06-28 01:55:04,5.4112,100.3354,85.93,83,20,2.3
152,Airai,TL,2022-06-28 02:01:41,-8.9266,125.4092,67.48,62,86,5.91
153,Tiksi,RU,2022-06-28 02:01:42,71.6872,128.8694,36.23,73,100,6.31
154,Volsk,RU,2022-06-28 02:01:42,52.0333,47.3833,65.64,88,3,4.38
155,Codrington,AU,2022-06-28 01:52:05,-38.2667,141.9667,52.95,60,100,13.65
156,Ancud,CL,2022-06-28 02:01:43,-41.8697,-73.8203,49.23,88,100,25.52
157,Umm Kaddadah,SD,2022-06-28 02:01:44,13.6017,26.6876,86.49,43,100,8.12
158,Kasempa,ZM,2022-06-28 02:01:44,-13.4584,25.8338,53.78,81,19,10.83
159,Leshukonskoye,RU,2022-06-28 02:01:45,64.8989,45.7622,41.27,74,40,9.93
160,Banjar,ID,2022-06-28 02:01:45,-8.19,114.9675,81.23,61,95,6.26
161,Hasaki,JP,2022-06-28 02:01:46,35.7333,140.8333,93.29,72,100,7.78
162,Camacha,PT,2022-06-28 02:01:46,33.0833,-16.3333,62.02,68,20,12.66
163,Berlevag,NO,2022-06-28 02:01:46,70.8578,29.0864,60.8,51,75,10.36
164,Itarema,BR,2022-06-28 02:01:47,-2.9248,-39.9167,76.91,87,17,9.66
165,Kyra,RU,2022-06-28 02:01:47,49.5776,111.9753,78.91,44,0,2.39
166,Knysna,ZA,2022-06-28 01:56:53,-34.0363,23.0471,58.77,54,4,5.66
167,Valley City,US,2022-06-28 02:01:48,46.9233,-98.0032,73.92,56,0,0.0
168,Sambava,MG,2022-06-28 02:01:49,-14.2667,50.1667,69.1,80,94,13.89
169,Jamestown,US,2022-06-28 01:52:45,42.097,-79.2353,63.99,67,100,5.75
170,Koungou,YT,2022-06-28 02:01:49,-12.7336,45.2042,76.71,69,40,19.57
171,Gallup,US,2022-06-28 02:01:50,35.5281,-108.7426,75.96,48,20,5.75
